Nombre,Artistas,Duración (segundos),Popularidad,Explícito,Fecha de Lanzamiento,Danceability,Energy,Valence,Tempo,Acousticness,Instrumentalness,Speechiness
DEGENERE 👑 (feat. benny blanco),"Myke Towers, benny blanco",130.88,71,True,2024-10-17,0.744,0.709,0.712,194.055,0.0501,0.0,0.284
Q U E V A S H A C E R H O Y ?,"Omar Courtz, De La Rose",224.022,89,True,2024-09-20,0.56,0.681,0.388,155.079,0.103,0.0,0.244
Si Antes Te Hubiera Conocido,KAROL G,195.824,94,False,2024-06-21,0.924,0.668,0.787,128.027,0.446,0.000594,0.0469
IA,Clarent,171.428,70,True,2024-10-17,0.706,0.631,0.289,111.93,0.656,0.0,0.0366
Duro De Verdad pt.2,"Los Sufridos, Bad Gyal",204.303,77,False,2024-09-12,0.74,0.738,0.908,158.026,0.0756,0.0015,0.0495
Luna llena,Beny Jr,169.846,77,False,2024-02-15,0.674,0.603,0.741,62.344,0.621,2.18e-05,0.248
TAMBIÉN,Myke Towers,139.546,79,True,2024-08-22,0.629,0.643,0.928,119.944,0.291,0.0,0.205
Soltera,Shakira,214.642,86,False,2024-09-25,0.841,0.752,0.67,100.076,0.167,0.00046,0.105
UWAIE,Kapo,172.427,88,False,2024-08-15,0.705,0.783,0.454,103.001,0.138,0.0,0.0403
PELIGROSA,FloyyMenor,134.93,84,True,2024-08-09,0.763,0.519,0.804,100.025,0.22,6.42e-06,0.0636
Ohnana,Kapo,156.577,86,False,2024-06-06,0.775,0.581,0.658,104.977,0.617,8.33e-06,0.108
Celine (with Kidd Keo),"Ghost Killer Track, Kidd Keo",176.017,73,False,2023-07-07,0.778,0.503,0.517,146.125,0.415,0.0,0.218
Rapido (with Cris Mj),"Dei V, Cris Mj",146.0,78,True,2024-06-14,0.719,0.799,0.597,95.021,0.0467,2.73e-06,0.0454
Qué Pecao,"Manuel Turizo, Kapo",230.073,75,False,2024-10-03,0.837,0.621,0.875,120.055,0.513,5.67e-06,0.0474
Santa,"Rvssian, Rauw Alejandro, Ayra Starr",193.038,83,False,2024-04-03,0.725,0.709,0.648,99.993,0.321,0.000189,0.129
FRIKI,Gonzy,189.066,59,True,2024-10-11,0.693,0.658,0.623,159.98,0.058,0.0,0.101
LA REINA,Lola Indigo,150.0,75,False,2024-06-13,0.721,0.731,0.711,128.062,0.0146,0.0,0.0909
Vacile,Yan Block,140.239,78,True,2022-09-30,0.819,0.531,0.761,120.094,0.897,0.0207,0.421
LUNA,"Feid, ATL Jacob",196.8,88,False,2023-12-01,0.774,0.86,0.446,100.019,0.131,0.0,0.13
RAPAPA,JC Reyes,120.888,61,False,2024-10-18,0.839,0.77,0.821,135.02,0.566,0.0474,0.0562
Me has invitado a bailar,Dani Fernández,192.906,71,False,2024-08-23,0.665,0.544,0.625,163.948,0.0129,0.0,0.115
BADGYAL,"SAIKO, JC Reyes, Dei V",253.962,76,True,2024-04-26,0.6,0.939,0.709,95.027,0.114,0.0,0.046
Goteras,"Omar Montes, JC Reyes",216.45,75,False,2024-06-27,0.633,0.815,0.353,95.953,0.406,0.0,0.0635
STAR,JC Reyes,156.0,60,False,2024-10-18,0.685,0.615,0.0808,113.145,0.358,0.0,0.0661
La Bachata,Manuel Turizo,162.637,83,False,2023-03-17,0.835,0.679,0.85,124.98,0.583,1.98e-06,0.0364
OTRA NOCHE (feat. Darell),"Myke Towers, Darell",224.12,72,True,2024-08-22,0.793,0.753,0.598,92.94,0.107,0.0,0.168
X'CLUSIVO - REMIX,"Gonzy, SAIKO, Arcángel",208.133,57,True,2024-10-11,0.813,0.552,0.773,146.952,0.0708,0.0002,0.0771
El Merengue,"Marshmello, Manuel Turizo",189.668,80,False,2023-11-03,0.777,0.774,0.661,123.982,0.0895,0.000401,0.0553
ADIVINO,"Myke Towers, Bad Bunny",278.644,75,True,2024-08-22,0.786,0.854,0.522,117.994,0.169,2.39e-05,0.0741
Después De La 1,"Cris Mj, FloyyMenor, LOUKI",177.6,87,True,2024-09-12,0.805,0.581,0.528,99.973,0.0303,0.0202,0.0601
Lo Que Tiene,"Morad, Beny Jr, Rvfv",259.2,75,False,2024-03-08,0.757,0.768,0.384,100.056,0.345,0.000406,0.0379
AMARGURA,KAROL G,170.48,85,True,2023-02-24,0.912,0.7,0.535,106.981,0.163,0.0,0.068
La Rizos [Dime Si Le Comento a la Pura],"Las 2K, Chardo Chardemio, Melody Records International",218.119,72,False,2024-06-17,0.788,0.78,0.905,105.026,0.353,1.32e-06,0.113
CARITA TRISTE,"Ana Mena, Emilia",175.296,76,False,2024-08-30,0.681,0.793,0.614,126.003,0.102,0.0,0.0382
SE ME OLVIDA,"Maisak, Feid",225.373,85,True,2024-08-23,0.786,0.707,0.691,82.045,0.0399,0.0,0.0635
Die With A Smile,"Lady Gaga, Bruno Mars",251.667,100,False,2024-08-16,0.521,0.592,0.535,157.969,0.308,0.0,0.0304
1000COSAS,"Lola Indigo, Manuel Turizo",239.482,73,False,2024-03-07,0.697,0.74,0.331,131.938,0.0132,0.000155,0.0397
EROTICAAAAAAA,"Gonzy, SAIKO",169.666,60,True,2024-10-11,0.702,0.604,0.132,93.033,0.121,0.0,0.0381
LA FALDA,Myke Towers,174.229,83,True,2023-09-18,0.8,0.738,0.267,103.008,0.372,0.00877,0.0691
REAL GANGSTA LOVE,Trueno,145.342,84,True,2024-05-23,0.831,0.643,0.57,97.013,0.388,6.94e-05,0.0568
Manos Rotas,"DELLAFUENTE, Morad",168.594,72,False,2023-11-16,0.728,0.59,0.238,93.977,0.386,0.0612,0.204
YOTULOKO,"Omar Montes, Rels B",213.699,73,False,2024-07-11,0.807,0.729,0.666,97.02,0.0794,2.53e-06,0.0683
El Fin del Mundo,"La La Love You, Axolotes Mexicanos",188.093,68,False,2020-12-11,0.602,0.866,0.677,127.052,0.000856,0.0,0.0471
APT.,"ROSÉ, Bruno Mars",169.917,91,False,2024-10-18,0.777,0.783,0.939,149.027,0.0283,0.0,0.26
WYA REMIX RED,"J Abdiel, De La Rose, Yan Block, iZaak, Jay Wheeler",321.741,82,True,2024-05-10,0.733,0.527,0.371,110.045,0.364,0.0,0.0486
Conexión,"Cano, JC Reyes",188.16,63,False,2024-10-10,0.737,0.866,0.576,124.948,0.145,8.46e-05,0.049
Martini,Dei V,164.365,72,True,2024-06-14,0.576,0.663,0.427,104.752,0.63,3.37e-05,0.0823
Cuando Te Vi | CROSSOVER #5,"Big One, Maria Becerra, Trueno",218.4,80,True,2024-06-27,0.81,0.767,0.654,99.996,0.162,0.0,0.053
Tu Silueta,Diegote,170.48,74,False,2024-07-12,0.718,0.769,0.543,103.903,0.11,0.0,0.246
Rosas,La Oreja de Van Gogh,237.026,69,False,2004-05-10,0.783,0.693,0.528,106.991,0.622,8.3e-06,0.027
